"Source","Target","weight","jaccard","ra","pa","cn","salton","hubprom","hubdep","sorensen","lhn","AdamAdar","cosine_similarity","pearson_similarity"
1,57,1,0.234,0.492898535962364,3157,24,0.427143646384699,0.311688311688312,0.585365853658537,0.350877192982456,0.00760215394361736,6.27783995649699,0.63091,0.56486
1,6,10,0.433,1.07704079018582,5698,47,0.622639452395917,0.61038961038961,0.635135135135135,0.585034013605442,0.00824850824850825,12.4028461766509,0.79152,0.72081
1,60,1,0.22,0.289885989445713,1771,18,0.427723610869582,0.233766233766234,0.782608695652174,0.326530612244898,0.0101637492941841,4.41198272351461,0.6391,0.57125
1,61,1,0.135,0.2269111077177,2002,14,0.312893109387372,0.181818181818182,0.538461538461538,0.202020202020202,0.00699300699300699,3.66794407244941,0.63453,0.56455
1,63,2,0.112,0.190336094587233,1694,10,0.242964765374931,0.12987012987013,0.454545454545455,0.164948453608247,0.00590318772136954,2.56387624853947,0.63377,0.56273
1,65,1,0.159,0.342056225055721,1540,15,0.382235393578219,0.194805194805195,0.75,0.236559139784946,0.00974025974025974,4.20840026359643,0.631,0.56514
1,66,1,0.233,0.378569945094395,2387,22,0.45029432259193,0.285714285714286,0.709677419354839,0.346153846153846,0.00921658986175115,5.61429430254089,0.63032,0.56433
1,67,1,0.209,0.286480491937206,2233,20,0.423238955690485,0.25974025974026,0.689655172413793,0.313725490196078,0.00895656068069861,4.98374123570921,0.63951,0.56811
1,69,6,0.21,0.286655131077721,1617,17,0.422760021606695,0.220779220779221,0.80952380952381,0.3125,0.0105132962275819,4.22401623972232,0.64161,0.57553
1,7,16,0.439,1.06308598871265,6083,49,0.628256762210739,0.620253164556962,0.636363636363636,0.592105263157895,0.00805523590333717,12.7865579334966,0.99476,0.9905
1,71,1,0.155,0.236070482805895,1694,15,0.364447148062397,0.194805194805195,0.681818181818182,0.231578947368421,0.00885478158205431,3.9148457103173,0.63096,0.56246
1,72,1,0.167,0.276192650421237,2695,16,0.308205651411768,0.207792207792208,0.457142857142857,0.254545454545455,0.00593692022263451,3.96899510041869,0.63404,0.56451
1,74,1,0.2,0.384272837131675,3003,21,0.383214231015951,0.272727272727273,0.538461538461538,0.303571428571429,0.00699300699300699,5.41115303290623,0.64159,0.56876
1,78,1,0.128,0.14778905133996,1001,12,0.379283724744608,0.155844155844156,0.923076923076923,0.186046511627907,0.011988011988012,3.1975192112599,0.63171,0.56608
1,79,1,0.125,0.156848949864985,1001,10,0.316069770620507,0.12987012987013,0.769230769230769,0.181818181818182,0.00999000999000999,2.4412810780231,0.63433,0.56791
1,8,8,0.406,1.05124534800762,5159,43,0.598667513097723,0.558441558441558,0.641791044776119,0.557142857142857,0.0083349486334561,11.5120737917647,0.73367,0.6603
1,80,1,0.261,0.565962098003591,2772,25,0.474835735248491,0.324675324675325,0.694444444444444,0.385321100917431,0.00901875901875902,6.70993809766413,0.63105,0.56523
1,82,1,0.138,0.164533970235622,1848,14,0.325669473639465,0.181818181818182,0.583333333333333,0.206185567010309,0.00757575757575758,3.50169631041301,0.63575,0.5698
1,83,1,0.133,0.167468806227695,1925,12,0.273505383503131,0.155844155844156,0.48,0.2,0.00623376623376623,2.87425703033724,0.63828,0.56782
1,85,1,0.202,0.483947590884158,2772,19,0.360875158788854,0.246753246753247,0.527777777777778,0.306306306306306,0.00685425685425685,5.0919317303976,0.63871,0.56732
1,89,1,0.136,0.201828282659208,1925,14,0.319089614086986,0.181818181818182,0.56,0.204081632653061,0.00727272727272727,3.59949130297558,0.63941,0.56751
1,9,3,0.348,0.655326701072666,3311,31,0.538743574515602,0.402597402597403,0.720930232558139,0.491525423728814,0.00936273029296285,8.01272559420543,0.67041,0.60257
1,91,1,0.108,0.149658062754283,1309,11,0.30403449605253,0.142857142857143,0.647058823529412,0.155555555555556,0.00840336134453781,2.96343041967098,0.63065,0.56448
1,98,1,0.188,0.27635648045479,2002,18,0.402291140640907,0.233766233766234,0.692307692307692,0.282828282828283,0.00899100899100899,4.58606907553269,0.63357,0.56385
10,101,1,0.138,0.117545934957196,868,11,0.373364328316172,0.17741935483871,0.785714285714286,0.194444444444444,0.0126728110599078,2.92939840590678,0.98747,0.99097
10,102,1,0.278,0.380871091655609,2418,22,0.447398509130146,0.354838709677419,0.564102564102564,0.404040404040404,0.00909842845326716,5.43716637520516,0.98859,0.99181
10,109,1,0.129,0.19976624630496,1054,9,0.277218496635164,0.145161290322581,0.529411764705882,0.181818181818182,0.00853889943074004,2.36061330256261,0.98579,0.98958
10,11,2,0.393,1.16041131394486,6386,48,0.600657328626582,0.466019417475728,0.774193548387097,0.546583850931677,0.00751644221735045,12.8047504262045,0.97868,0.97925
10,12,5,0.34,0.658281504752544,4340,35,0.531279648129052,0.5,0.564516129032258,0.484375,0.00806451612903226,8.9127587306381,0.9938,0.99219
10,13,2,0.303,0.666332187570167,4278,32,0.489248596189407,0.463768115942029,0.516129032258065,0.440944881889764,0.00748013090229079,8.26462104667859,0.99402,0.99583
10,137,1,0.106,0.098247908422327,806,9,0.317011479154356,0.145161290322581,0.692307692307692,0.140845070422535,0.011166253101737,2.51848351777313,0.98584,0.98992
10,142,1,0.134,0.115164797029598,868,9,0.305479904985959,0.145161290322581,0.642857142857143,0.189189189189189,0.01036866359447,2.16536764769254,0.98591,0.98963
10,15,1,0.364,0.643097016775572,3720,34,0.55745196041636,0.548387096774194,0.566666666666667,0.508474576271186,0.00913978494623656,8.69244761793591,0.99573,0.99715
10,154,1,0.154,0.118492724095386,930,12,0.393495501470372,0.193548387096774,0.8,0.219178082191781,0.0129032258064516,3.11379943140718,0.9872,0.99084
10,16,2,0.307,0.431497097316879,2356,25,0.515053527143956,0.403225806451613,0.657894736842105,0.4375,0.0106112054329372,6.35012935348357,0.99107,0.9938
10,162,1,0.125,0.151813460297265,620,8,0.321287731561,0.129032258064516,0.8,0.171428571428571,0.0129032258064516,2.0741908177737,0.98606,0.98982
10,167,1,0.159,0.164937948380588,1240,13,0.369175192260592,0.209677419354839,0.65,0.230769230769231,0.0104838709677419,3.36155514356001,0.98626,0.99031
10,171,1,0.106,0.106032354740708,682,7,0.268043853373619,0.112903225806452,0.636363636363636,0.140845070422535,0.0102639296187683,1.75168134479196,0.98618,0.99029
10,18,2,0.346,0.730512079511962,4960,38,0.539563742534712,0.475,0.612903225806452,0.492753623188406,0.00766129032258064,9.67471328661863,0.99203,0.99022
10,191,1,0.231,0.272997082598634,2232,20,0.423333756667302,0.32258064516129,0.555555555555556,0.340425531914894,0.00896057347670251,4.94425248779582,0.98523,0.98924
10,20,1,0.338,0.464127898587681,2914,29,0.537221300908315,0.467741935483871,0.617021276595745,0.476190476190476,0.00995195607412491,7.21766163106362,0.99412,0.99585
10,200,1,0.129,0.109545601656376,1178,11,0.320494100711436,0.17741935483871,0.578947368421053,0.181818181818182,0.00933786078098472,2.82126621477511,0.98508,0.98947
10,206,2,0.3,1.57309326712612,10664,54,0.522918120588883,0.313953488372093,0.870967741935484,0.448275862068966,0.00506376594148537,15.0284326852331,0.98511,0.98913
10,21,4,0.355,0.662366228504697,4092,35,0.547142224545632,0.53030303030303,0.564516129032258,0.5,0.00855327468230694,8.91447584208848,0.98591,0.9901
10,22,2,0.217,0.284167328769215,2542,20,0.39668175187901,0.32258064516129,0.48780487804878,0.323232323232323,0.00786782061369001,4.93073994549054,0.98892,0.99215
10,25,1,0.296,0.565236340076896,4154,31,0.480981583412598,0.462686567164179,0.5,0.432,0.00746268656716418,7.84071152981534,0.99326,0.99526
10,26,7,0.25,0.320662840546782,2480,22,0.441770630896374,0.354838709677419,0.55,0.36734693877551,0.00887096774193548,5.44274808703255,0.99614,0.99739
10,27,1,0.402,0.885505662545754,4712,41,0.597284460416767,0.539473684210526,0.661290322580645,0.552238805970149,0.00870118845500849,10.6901505359685,0.99365,0.99276
10,28,1,0.381,0.706772150736586,3472,34,0.577017598306811,0.548387096774194,0.607142857142857,0.526315789473684,0.0097926267281106,8.81243768603198,0.99353,0.99238
10,29,1,0.278,0.388761809026037,2542,24,0.476018102254812,0.387096774193548,0.585365853658537,0.404040404040404,0.00944138473642801,6.06012305989303,0.9916,0.99192
